id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1548083747743903746,1548083747743903746,2022-07-16 00:15:02 W. Central Africa Standard Time,2022-07-16,00:15:02,+0100,1172048786107109376,obinnachukwukad,Obinna Chukwukadibia,,☘️🥃  #LOVEDAMINI,und,[],[],[],0,0,0,['lovedamini'],[],https://twitter.com/ObinnaChukwukad/status/1548083747743903746,False,https://twitter.com/Spotify/status/1546956528762118144,0,,,,,,,,[],,,,
1548083586061914113,1548083586061914113,2022-07-16 00:14:23 W. Central Africa Standard Time,2022-07-16,00:14:23,+0100,3344606903,yungsmog,yungsmog Iridak,,Baba you got nothing to prove #LoveDamini na great and awesome project,en,[],[],[],0,0,6,['lovedamini'],[],https://twitter.com/Yungsmog/status/1548083586061914113,False,https://twitter.com/burnaboy/status/1548076323960082435,0,,,,,,,,[],,,,
1548083540042006528,1548083540042006528,2022-07-16 00:14:12 W. Central Africa Standard Time,2022-07-16,00:14:12,+0100,1486471347307954177,qlassicsam,Samuel,,It’s plenty by @burnaboy be giving me so much joy 🤩 damn!!!!! I don too hear that song #LOVEDAMINI,en,"[{'screen_name': 'burnaboy', 'name': 'burna boy', 'id': '215052012'}]",[],[],0,0,0,['lovedamini'],[],https://twitter.com/qlassicsam/status/1548083540042006528,False,,0,,,,,,,,[],,,,
1548083401990672386,1548083401990672386,2022-07-16 00:13:39 W. Central Africa Standard Time,2022-07-16,00:13:39,+0100,1172048786107109376,obinnachukwukad,Obinna Chukwukadibia,,Old dawg ruu!  🖤🔥💪🏽  #LOVEDAMINI,ht,[],[],[],0,0,0,['lovedamini'],[],https://twitter.com/ObinnaChukwukad/status/1548083401990672386,False,https://twitter.com/burnaboy/status/1548032534121816065,0,,,,,,,,[],,,,
1548083304393371650,1547962440540770306,2022-07-16 00:13:16 W. Central Africa Standard Time,2022-07-16,00:13:16,+0100,1546664681695322112,pelumieeee,Loyalty over love,,@emily_george20 #LOVEDAMINI 😭🔥,und,[],[],[],0,0,0,['lovedamini'],[],https://twitter.com/Pelumieeee/status/1548083304393371650,False,,0,,,,,,,,"[{'screen_name': 'emily_george20', 'name': 'Emily Mae ♠', 'id': '2256602373'}]",,,,
1548082190906302471,1548082190906302471,2022-07-16 00:08:50 W. Central Africa Standard Time,2022-07-16,00:08:50,+0100,361777006,rickrends,Pat,,"Hear me , Hear me It's different but it's just as good. as always  #LOVEDAMINI  My post on @burnaboy new album   https://t.co/qRZ1h9UFsj",en,"[{'screen_name': 'burnaboy', 'name': 'burna boy', 'id': '215052012'}]",['https://www.rickrends.com/burna-themed-love/'],[],0,0,0,['lovedamini'],[],https://twitter.com/rickrends/status/1548082190906302471,False,,0,,,,,,,,[],,,,
1548082187160862723,1548003129538400257,2022-07-16 00:08:50 W. Central Africa Standard Time,2022-07-16,00:08:50,+0100,1395751840218812417,decastro_bb,William,,"@samqlevG @AlbumTalksHQ @BeRry_leeyo @Omah_Lay It's good sha, but #LOVEDAMINI &gt;&gt;&gt;&gt;&gt;&gt;",en,[],[],[],0,0,0,['lovedamini'],[],https://twitter.com/decastro_bb/status/1548082187160862723,False,,0,,,,,,,,"[{'screen_name': 'samqlevG', 'name': 'OLHABEEZEE', 'id': '290089509'}, {'screen_name': 'AlbumTalksHQ', 'name': '𝗔𝗟𝗕𝗨𝗠 𝗧𝗔𝗟𝗞𝗦 📀', 'id': '848300223105576961'}, {'screen_name': 'BeRry_leeyo', 'name': 'Be Rry 🇺🇸🇺🇸🇺🇸', 'id': '1208102131615649799'}, {'screen_name': 'Omah_Lay', 'name': 'Omah Lay', 'id': '1114311810'}]",,,,
1548082055510036480,1547722810063130625,2022-07-16 00:08:18 W. Central Africa Standard Time,2022-07-16,00:08:18,+0100,1199856526388842497,frefrick1,KRIZPET.ETH,,@misskirbybaby @burnaboy ❤️ #LOVEDAMINI,und,[],[],[],0,0,2,['lovedamini'],[],https://twitter.com/Frefrick1/status/1548082055510036480,False,,0,,,,,,,,"[{'screen_name': 'misskirbybaby', 'name': 'Kirby D', 'id': '29834330'}, {'screen_name': 'burnaboy', 'name': 'Burna Boy', 'id': '215052012'}]",,,,
1548082050661380097,1548082050661380097,2022-07-16 00:08:17 W. Central Africa Standard Time,2022-07-16,00:08:17,+0100,1435999935237918728,malikhassan411,"Love,Damini ❤️🦍  𓃵",,I hope @burnaboy put SABINUS on It’s Plenty visuals 🤲🏾🤲🏾  #LOVEDAMINI  ⬇️⬇️⬇️  https://t.co/FwruN9N4ru,en,"[{'screen_name': 'burnaboy', 'name': 'burna boy', 'id': '215052012'}]",[],[],5,21,118,['lovedamini'],[],https://twitter.com/MalikHassan411/status/1548082050661380097,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1548081727163183104/pu/img/ZnPeJ5Paz4bK3zhi.jpg,,,,,,,[],,,,
1548082021506854912,1548082021506854912,2022-07-16 00:08:10 W. Central Africa Standard Time,2022-07-16,00:08:10,+0100,139058264,donkapski,DoF,,The transition from glory to science…perfect! It’s the little things for me #LOVEDAMINI,en,[],[],[],0,1,0,['lovedamini'],[],https://twitter.com/DonKapski/status/1548082021506854912,False,,0,,,,,,,,[],,,,
1548081513454940160,1548081513454940160,2022-07-16 00:06:09 W. Central Africa Standard Time,2022-07-16,00:06:09,+0100,1318130505959825409,mrkhayce,Harmsway,,I keep wondering how @burnaboy sat down and thought of the common man then made a song even after winning Grammy . #LOVEDAMINI,en,"[{'screen_name': 'burnaboy', 'name': 'burna boy', 'id': '215052012'}]",[],[],0,0,1,['lovedamini'],[],https://twitter.com/mrkhayce/status/1548081513454940160,False,,0,,,,,,,,[],,,,
1548081476138180610,1548054451348328451,2022-07-16 00:06:00 W. Central Africa Standard Time,2022-07-16,00:06:00,+0100,1316313947700592640,afrofusion_gt,Lawrence Patrick,,@Temsjr @benny7gang There hate got nothing on him🦍 #LOVEDAMINI,en,[],[],[],0,0,7,['lovedamini'],[],https://twitter.com/AFROFUSION_GT/status/1548081476138180610,False,,0,,,,,,,,"[{'screen_name': 'Temsjr', 'name': 'Tems', 'id': '449742796'}, {'screen_name': 'benny7gang', 'name': 'benny', 'id': '1104076483469946880'}]",,,,
1548081138756816899,1548034899583479816,2022-07-16 00:04:40 W. Central Africa Standard Time,2022-07-16,00:04:40,+0100,1316183294422274049,sonofmercyrr,Sonofmercy,,@KennyIsGoat #LOVEDAMINI,qme,[],[],[],1,0,0,['lovedamini'],[],https://twitter.com/SonOfMercyRR/status/1548081138756816899,False,,0,,,,,,,,"[{'screen_name': 'KennyIsGoat', 'name': 'Kenny', 'id': '1246918320206553088'}]",,,,
1548081108184473605,1548081108184473605,2022-07-16 00:04:32 W. Central Africa Standard Time,2022-07-16,00:04:32,+0100,975744100564598785,ocheejnr,K I N G 🦍,,"If mouth dey pain Burna boy, na me cause am😭😭😭. #LOVEDAMINI don turn addiction oh",en,[],[],[],0,0,1,['lovedamini'],[],https://twitter.com/Ocheejnr/status/1548081108184473605,False,,0,,,,,,,,[],,,,
1548080860703821824,1547838019754868742,2022-07-16 00:03:33 W. Central Africa Standard Time,2022-07-16,00:03:33,+0100,1542534541688115202,davidlloyd_m,David Madume,,@antigravitylity Nawa oh #lovedamini,tl,[],[],[],0,0,0,['lovedamini'],[],https://twitter.com/DavidLloyd_M/status/1548080860703821824,False,,0,,,,,,,,"[{'screen_name': 'antigravitylity', 'name': 'Antigravitylity (new acct)', 'id': '1534551933494738944'}]",,,,
1548080787081216000,1548080787081216000,2022-07-16 00:03:16 W. Central Africa Standard Time,2022-07-16,00:03:16,+0100,948558296469958656,misus_nora,Nora,,#LOVEDAMINI: Common person takes the cake. Been on replay since morning.,en,[],[],[],0,0,1,['lovedamini'],[],https://twitter.com/Misus_Nora/status/1548080787081216000,False,,0,,,,,,,,[],,,,
1548080606772285441,1548080606772285441,2022-07-16 00:02:33 W. Central Africa Standard Time,2022-07-16,00:02:33,+0100,1439283568203730954,ghostlikesmog,Ghost👻,,Everything Burna Boy said in Wild Dreams #LOVEDAMINI,en,[],[],[],0,0,0,['lovedamini'],[],https://twitter.com/ghostlikesmog/status/1548080606772285441,False,,0,,,,,,,,[],,,,
1548080546080628736,1548080546080628736,2022-07-16 00:02:18 W. Central Africa Standard Time,2022-07-16,00:02:18,+0100,1537431099923501058,giff_teee,Giffteee🦁,,Before I go to bed now.. lemme ask you one question!!!... Have you stream the new Burna boy album?👀 #LOVEDAMINI,en,[],[],[],0,0,0,['lovedamini'],[],https://twitter.com/giff_teee/status/1548080546080628736,False,,0,,,,,,,,[],,,,
