,User,Time,Tweet,Location,Verified,Tweet_Source,Followers,Retweet_Count,Tweet ID
113,_DauntlessDoft,2022-07-11 15:29:31+00:00,RT @ArewaAdebukolaa: Wait who are the people streaming it’s plenty? That song is moving like crazy hian #LOVEDAMINI,the 900211,False,Twitter for Android,511,9,1546517045096976384
114,Miss_Slovex,2022-07-11 15:29:27+00:00,RT @iamspicity1002: @burnaboy Album #LOVEDAMINI might cop another Grammy,between love & goodbye,False,Twitter for Android,2219,1,1546517028432973824
115,Miss_Slovex,2022-07-11 15:29:23+00:00,RT @He_speakss: Am I the only one that hasn't heard Burna Boy's #LOVEDAMINI ?,between love & goodbye,False,Twitter for Android,2219,1,1546517012788219904
116,BabyBoss89,2022-07-11 15:29:20+00:00,"Rollercoaster🙌🙌
#LOVEDAMINI",,False,Twitter for Android,1042,0,1546516998913400833
117,ArewaAdebukolaa,2022-07-11 15:29:19+00:00,"RT @pesinpikinn: I love every bit of this album aswr😂🥰🥰🥰🥵🥵❤️❤️❤️❤️❤️🤲🤲🤲

#LOVEDAMINI https://t.co/7DHPiB0tCN",,False,Twitter for iPhone,2079,3,1546516996694614016
118,Miss_Slovex,2022-07-11 15:29:18+00:00,RT @celebrgreat: Victony x Burna boy - Different size will be the most hit song on #LOVEDAMINI,between love & goodbye,False,Twitter for Android,2219,1,1546516994022903808
119,jorhnny204,2022-07-11 15:29:18+00:00,"RT @Burnaboystats1: “For my hand” ft @edsheeran has peaked at number 1 on Apple Music in 8 different countries so far. 

#LoveDamini #Burna…",OUTSIDE,False,Twitter for Android,1152,117,1546516991074308097
120,burnalovedamini,2022-07-11 15:29:16+00:00,"RT @richie_bantii: Cant lie, never liked #LOVEDAMINI album cover, but after listening to that Album, had to revisit that cover again coZ it…",,False,Twitter for Android,365,17,1546516983545462787
121,ArewaAdebukolaa,2022-07-11 15:29:15+00:00,RT @brwn_vee: @burnaboy please tell us there is a deluxe #LOVEDAMINI,,False,Twitter for iPhone,2079,2,1546516981247082496
122,Miss_Slovex,2022-07-11 15:29:14+00:00,RT @LORDDUKEXVI: Its Plenty don suffer for my hand #LOVEDAMINI,between love & goodbye,False,Twitter for Android,2219,1,1546516975370866689
123,macdawid,2022-07-11 15:29:07+00:00,RT @itsroyaIe: Burna boy's album #LOVEDAMINI be giving me goosebumps every time I listen to it omg. It literally fits into every mood and e…,Canaan Land,False,Twitter for Android,10567,73,1546516945490644992
124,ArewaAdebukolaa,2022-07-11 15:29:07+00:00,"RT @cryp_Toby: We playing russian Roulette with Loaded Revolvers

And if you kill your self 
They go call olopa

Wiiin Woon wiiin woon. 🧨
W…",,False,Twitter for iPhone,2079,1,1546516944865689602
125,ThatMadProphet,2022-07-11 15:29:04+00:00,"RT @Outsidian: She bowed for the result ‘Last Last’ 😀🙌🏾

#LoveDamini  https://t.co/jB6wjaBzIv",Asylum,False,Twitter for iPhone,448,47,1546516932723105792
126,Miss_Slovex,2022-07-11 15:29:03+00:00,"RT @lorrainelolly42: He's an African Giant sure 🥺❤️📍

#LOVEDAMINI 

#BurnaBoy https://t.co/st1cldGF7c",between love & goodbye,False,Twitter for Android,2219,1,1546516929128632321
127,burnalovedamini,2022-07-11 15:29:02+00:00,RT @Ayobame_israel: It is impossible to choose favorite song from burna boy #LOVEDAMINI album so many hit 🔥🔥🔥🔥🤦🏾‍♂️,,False,Twitter for Android,365,3,1546516926708449285
128,burnalovedamini,2022-07-11 15:29:00+00:00,"RT @curvybarbiel: @burnaboy thank you for #LOVEDAMINI especially the track ""common person"" found do much relief in that track ❤️",,False,Twitter for Android,365,3,1546516915769810944
129,MyGuyITK,2022-07-11 15:28:57+00:00,"RT @burnaOutsiders: 🇺🇸USA APPLE MUSIC TOP SONGS CHART

#25. Burna boy - last last(new peak)

#LOVEDAMINI https://t.co/5ZljwFO7gA","Ansbach, Germany",False,Twitter for Android,448,51,1546516905158213633
130,burnalovedamini,2022-07-11 15:28:56+00:00,RT @kennedo_e2: Cloak &amp; Dagger on repeat 🔁 #LOVEDAMINI,,False,Twitter for Android,365,4,1546516898598240256
131,burnalovedamini,2022-07-11 15:28:54+00:00,"RT @CuteAyoola: I go swallow @burnaboy if I see am
Man too good #LOVEDAMINI",,False,Twitter for Android,365,3,1546516889995821057
132,ArewaAdebukolaa,2022-07-11 15:28:51+00:00,"RT @kennedo_e2: Vanilla is definitely a bop, big tune! #LOVEDAMINI",,False,Twitter for iPhone,2079,2,1546516881024188417
133,burnalovedamini,2022-07-11 15:28:51+00:00,"RT @Courage1K: You should be proud of Nigerian music after listening to this album.

#Lovedamini",,False,Twitter for Android,365,7,1546516880847929345
134,burnalovedamini,2022-07-11 15:28:49+00:00,RT @NazskiLz: Yep  we definitely got a classic album  #LOVEDAMINI,,False,Twitter for Android,365,6,1546516871599505408
135,otiti_yinkere,2022-07-11 15:28:48+00:00,"RT @burnaboy: Before I announced, working on a second :) #LOVEDAMINI https://t.co/aJ99Cb6bMC","Warri, Nigeria",False,Twitter for Android,318,973,1546516867388407814
136,Chukwuemerie18,2022-07-11 15:28:47+00:00,RT @NazskiLz: Yep  we definitely got a classic album  #LOVEDAMINI,,False,Twitter for Android,491,6,1546516860979625986
137,Miss_Slovex,2022-07-11 15:28:45+00:00,"RT @hanamnzali76: FOR THIS LIFE I DEY I WANT TO BE CELEBRATED , DON’T WANNA WASTE MY DAYS I WANT TO SPEND THEM ON ENJOYMENT 🔥🔥 that’s the t…",between love & goodbye,False,Twitter for Android,2219,9,1546516855057260544
138,Kingollie14,2022-07-11 15:28:45+00:00,"#LOVEDAMINI videos views so far on YouTube

1 last last 23 million views

2 for my hand 5 million views

3 vanilla… https://t.co/u7S93o3ZD8","Otukpo, Nigeria",False,Twitter for Android,127,0,1546516853903822850
139,Chukwuemerie18,2022-07-11 15:28:40+00:00,"RT @CuteAyoola: I go swallow @burnaboy if I see am
Man too good #LOVEDAMINI",,False,Twitter for Android,491,3,1546516832475021320
140,ArewaAdebukolaa,2022-07-11 15:28:36+00:00,RT @kennedo_e2: Cloak &amp; Dagger on repeat 🔁 #LOVEDAMINI,,False,Twitter for iPhone,2079,4,1546516815613943808
141,Nolanilove,2022-07-11 15:28:36+00:00,"RT @timmy__leyin: Burna Boy - Common Person off #LOVEDAMINI 

my favorite track on the album FOR NOW. https://t.co/SZCVXsMB5o",Lagos,False,Twitter for iPhone,1625,183,1546516814905151488
142,VICKO00444,2022-07-11 15:28:35+00:00,"RT @LaraAbudu: Again, Burna is who tf he thinks he is.😑❤️ #LoveDamini. https://t.co/Ca78AwT1f6",,False,Twitter for Android,14,18,1546516813797883905
143,Blackboydimaria,2022-07-11 15:28:34+00:00,"@burnaboy Gonna tell you guys the gospel truth,, mehhn burna sang sh**t's in this #LOVEDAMINI of an album,  no sweat song in there.damm",,False,Twitter for Android,1,0,1546516807552475136
144,ArewaAdebukolaa,2022-07-11 15:28:32+00:00,RT @FireboyGodfath2: Thank you burna boy for #LOVEDAMINI… We won’t forget this🌹,,False,Twitter for iPhone,2079,2,1546516799386255361
145,Miss_Slovex,2022-07-11 15:28:28+00:00,RT @Raceupkenneth: My baby smart but me I too wise 🤯 #Science  #LOVEDAMINI,between love & goodbye,False,Twitter for Android,2219,1,1546516783657631744
146,fanuelytz,2022-07-11 15:28:27+00:00,"RT @Burnaboystats1: 🇫🇷 France official singles chart top 200

#68. @burnaboy - Last Last (+44) new peak*

- 4 weeks on chart

#LOVEDAMINI #…","Dar es Salaam, Tanzania",False,Twitter for Android,714,63,1546516777663881217
147,Miss_Slovex,2022-07-11 15:28:26+00:00,"RT @babadahoafrica: How will all #LOVEDAMINI tracks will fill up the Top 100 Nigeria, shoutout to all outsiders 🦍🦍🦍",between love & goodbye,False,Twitter for Android,2219,1,1546516773050146817
148,ArewaAdebukolaa,2022-07-11 15:28:21+00:00,"RT @curvybarbiel: @burnaboy thank you for #LOVEDAMINI especially the track ""common person"" found do much relief in that track ❤️",,False,Twitter for iPhone,2079,3,1546516753479507978
149,adupsyduck,2022-07-11 15:28:19+00:00,RT @NewSoundRadar: #LOVEDAMINI   by BURNA BOY @burnaboy has now surpassed 12 million streams in less than 4 days on BoomPlay. https://t.co/…,"Lagos, Nigeria",False,Twitter for Android,4377,48,1546516745850175489
150,Miss_Slovex,2022-07-11 15:28:18+00:00,RT @iam_banbo: i feel like burna boy is talking directly to me when he said this cos am in such a fucked up place in my life right now and…,between love & goodbye,False,Twitter for Android,2219,2,1546516740800221184
151,ArewaAdebukolaa,2022-07-11 15:28:17+00:00,RT @Ayobame_israel: It is impossible to choose favorite song from burna boy #LOVEDAMINI album so many hit 🔥🔥🔥🔥🤦🏾‍♂️,,False,Twitter for iPhone,2079,3,1546516737776025606
152,greatoutsider,2022-07-11 15:28:15+00:00,"RT @Burnaboystats1: “For my hand” ft @edsheeran has peaked at number 1 on Apple Music in 8 different countries so far. 

#LoveDamini #Burna…",OUTSIDE,False,Twitter for iPhone,2015,117,1546516727059693569
153,preyeyinkore,2022-07-11 15:28:14+00:00,RT @Burnaboystats1: Burna boy becomes the first African artist to have two songs from an album chart in more than 10 countries each on Spot…,at peace with myself,False,Twitter for Android,2614,94,1546516725277102080
154,Miss_Slovex,2022-07-11 15:28:10+00:00,RT @Ugoriius: #NowPlaying Common Person @burnaboy #LOVEDAMINI .. Burst my head over and over,between love & goodbye,False,Twitter for Android,2219,1,1546516706616643586
