,User,Time,Tweet,Location,Verified,Tweet_Source,Followers,Retweet_Count,Tweet ID
390,heisKabyaar,2022-07-10 00:22:05+00:00,"RT @mahrex_owl: Ed Sheeran trying out Burna Boy’s heavy Jewelries 🧊📸

 “For my hand” is #15 on UK 🇬🇧 Apple Music chart 

#LOVEDAMINI https:…",,False,Twitter for Android,113,227,1545926295086833664
391,Ifeoluwa_duth,2022-07-10 00:21:58+00:00,RT @burnaboy: Thanks 😊 #LOVEDAMINI,Nigeria,False,Twitter for iPhone,4453,4822,1545926267433787392
392,bahd_mohs,2022-07-10 00:21:56+00:00,"RT @corliion: 10 million in one day? 

Crazyyy #LOVEDAMINI",outside,False,Twitter for Android,498,57,1545926259343036416
393,NewELITE12,2022-07-10 00:21:47+00:00,RT @AlbumTalksHQ: .@burnaboy’s #LOVEDAMINI is now #1 in 45 countries. (Apple),Nigeria,False,Twitter for Android,31,117,1545926222181531648
394,heisKabyaar,2022-07-10 00:21:45+00:00,RT @CHOPSTIIIIX: From the beach sessions to the world. It’s always fun creating with my brother @burnaboy — “Kilometre” + “Last Last” produ…,,False,Twitter for Android,113,297,1545926211502759937
395,Pana_xl,2022-07-10 00:21:37+00:00,"RT @damazinganita: It's @burnaboy's season and I love every bit of it ...

Meanwhile, I just finished watching Vanilla video on YouTube...…",Nigeria ,False,Twitter for Android,192,31,1545926179181326336
396,Pana_xl,2022-07-10 00:21:33+00:00,RT @sudais4pf: Burna boy is steady making history with #LOVEDAMINI Biggest nigeria album ever,Nigeria ,False,Twitter for Android,192,50,1545926163511386112
397,Kingdavidgift,2022-07-10 00:21:32+00:00,"RT @Taylorbankz3: LAGOS na there most of my customers dey, I made this for them...please retweet if you are in lagos...#Damini #LOVEDAMINI…",earth,False,Twitter for Android,687,1,1545926156666507265
398,iamochucko,2022-07-10 00:21:31+00:00,RT @backroadgee: After listen @burnaboy album for 2 days straight. I believe this is another classic album. #LOVEDAMINI  #Well done my fami…,wya,False,Twitter for Android,2219,244,1545926153227194368
399,dirmaxdeyforU,2022-07-10 00:21:25+00:00,RT @burnaboy: Thanks 😊 #LOVEDAMINI,Twitter🌍,False,Twitter for iPhone,29023,4822,1545926129273524226
400,thecoconutman_,2022-07-10 00:21:25+00:00,RT @burnaboy: #Vanilla visual story out now ft. #RayBanStories. Full video at https://t.co/mRc0IRAAvD @ray_ban #sponsored #LOVEDAMINI https…,"Kaduna, Nigeria",False,Twitter for Android,341,1328,1545926126471725058
401,Raymididit,2022-07-10 00:21:23+00:00,"RT @badboyayoola01: Person wey listen to Burna Boy ft Ed sheeran For my hand and fall in love again
Go later listen to Last Last from same…",,False,Twitter for Android,209,76,1545926121484591106
402,Alebsdan,2022-07-10 00:21:23+00:00,"RT @chartdata: .@burnaboy earned his biggest streaming day of all-time on Spotify on July 8, with 10 million listens following the release…",Remote,False,Twitter for iPhone,1276,609,1545926120176062464
403,Olarewaju03,2022-07-10 00:21:20+00:00,RT @burnaboy: Thanks 😊 #LOVEDAMINI,Peaceful Valley😁,False,Twitter for iPhone,1600,4822,1545926107496677376
404,Alebsdan,2022-07-10 00:21:19+00:00,"RT @corliion: 10 million in one day? 

Crazyyy #LOVEDAMINI",Remote,False,Twitter for iPhone,1276,57,1545926102002049024
405,BaritDannille,2022-07-10 00:21:17+00:00,"RT @chartdata: .@burnaboy earned his biggest streaming day of all-time on Spotify on July 8, with 10 million listens following the release…",,False,Twitter for Android,2,609,1545926094770999296
406,AdrianJoxhua,2022-07-10 00:21:17+00:00,@burnaboy @Burnaboy album is the best ever album #lovedamini,"Mbeya, Tanzania",False,Twitter for Android,1859,0,1545926093160456192
